timestamp_iso,node_id,command,success,attempts,rtt_ms,error_type,error_msg,request_bytes_len,response_bytes_len,cpu_load_percent
2026-04-28T03:35:46Z,1,1,True,1,192.00611114501953,,,8,146,
2026-04-28T03:35:47Z,2,1,True,1,131.40439987182617,,,8,99,
2026-04-28T03:36:48Z,1,1,True,1,182.01184272766113,,,8,143,
2026-04-28T03:36:49Z,2,1,True,1,131.47401809692383,,,8,99,
2026-04-28T03:37:50Z,1,1,True,1,191.9572353363037,,,8,146,
2026-04-28T03:37:51Z,2,1,True,1,131.54053688049316,,,8,100,
2026-04-28T03:38:53Z,1,1,True,1,191.76220893859863,,,8,146,
2026-04-28T03:38:54Z,2,1,True,1,143.68653297424316,,,8,99,
2026-04-28T03:39:55Z,1,1,True,1,192.14200973510742,,,8,146,
2026-04-28T03:39:56Z,2,1,True,1,141.49022102355957,,,8,100,
2026-04-28T03:40:57Z,1,1,True,1,191.98942184448242,,,8,145,
2026-04-28T03:40:58Z,2,1,True,1,141.5400505065918,,,8,100,
2026-04-28T03:42:00Z,1,1,True,1,172.7895736694336,,,8,143,
2026-04-28T03:42:01Z,2,1,True,1,131.39939308166504,,,8,99,
2026-04-28T03:43:02Z,1,1,True,1,191.99872016906738,,,8,146,
2026-04-28T03:43:03Z,2,1,True,1,131.4074993133545,,,8,100,
2026-04-28T03:44:04Z,1,1,True,1,192.04282760620117,,,8,146,
2026-04-28T03:44:05Z,2,1,True,1,141.46661758422852,,,8,100,
2026-04-28T03:45:07Z,1,1,True,1,192.15989112854004,,,8,146,
2026-04-28T03:45:08Z,2,1,True,1,131.64854049682617,,,8,100,
2026-04-28T03:46:09Z,1,1,True,1,181.93531036376953,,,8,144,
2026-04-28T03:46:10Z,2,1,True,1,131.47282600402832,,,8,100,
2026-04-28T03:47:11Z,1,1,True,1,192.02733039855957,,,8,145,
2026-04-28T03:47:12Z,2,1,True,1,131.453275680542,,,8,100,
2026-04-28T03:48:13Z,1,1,True,1,182.8441619873047,,,8,141,
2026-04-28T03:48:15Z,2,1,True,1,131.46543502807617,,,8,100,
2026-04-28T03:49:16Z,1,1,True,1,192.0156478881836,,,8,146,
2026-04-28T03:49:17Z,2,1,True,1,131.41798973083496,,,8,100,
2026-04-28T03:50:18Z,1,1,True,1,191.99275970458984,,,8,145,
2026-04-28T03:50:19Z,2,1,True,1,141.53432846069336,,,8,100,
2026-04-28T03:51:20Z,1,1,True,1,185.37092208862305,,,8,146,
2026-04-28T03:51:22Z,2,1,True,1,132.20548629760742,,,8,100,
2026-04-28T03:52:23Z,1,1,True,1,171.83446884155273,,,8,146,
2026-04-28T03:52:24Z,2,1,True,1,131.89029693603516,,,8,100,
2026-04-28T03:53:25Z,1,1,True,1,171.9663143157959,,,8,145,
2026-04-28T03:53:26Z,2,1,True,1,131.44350051879883,,,8,100,
2026-04-28T03:54:27Z,1,1,True,1,172.1816062927246,,,8,146,
2026-04-28T03:54:29Z,2,1,True,1,131.4718723297119,,,8,100,
2026-04-28T03:55:30Z,1,1,True,1,182.0073127746582,,,8,145,
2026-04-28T03:55:31Z,2,1,True,1,141.4966583251953,,,8,99,
2026-04-28T03:56:32Z,1,1,True,1,192.0480728149414,,,8,146,
